"tick","Human Count","Zombie Count"
1.0,198,7
2.0,198,7
3.0,198,7
4.0,198,7
5.0,198,7
6.0,198,7
7.0,198,7
8.0,197,8
9.0,197,8
10.0,197,8
11.0,197,8
12.0,197,8
13.0,197,8
14.0,197,8
15.0,195,10
16.0,195,10
17.0,195,10
18.0,195,10
19.0,195,10
20.0,195,10
21.0,194,11
22.0,193,12
23.0,192,13
24.0,192,13
25.0,192,13
26.0,192,13
27.0,192,13
28.0,192,13
29.0,192,13
30.0,192,13
31.0,192,13
32.0,192,13
33.0,192,13
34.0,191,14
35.0,191,14
36.0,191,14
37.0,191,14
38.0,191,14
39.0,190,15
40.0,189,16
41.0,188,17
42.0,188,17
43.0,187,18
44.0,187,18
45.0,187,18
46.0,187,18
47.0,186,19
48.0,186,19
49.0,186,19
50.0,186,19
51.0,186,19
52.0,184,21
53.0,183,22
54.0,183,22
55.0,183,22
56.0,183,22
57.0,181,24
58.0,181,24
59.0,181,24
60.0,181,24
61.0,180,25
62.0,178,27
63.0,176,29
64.0,175,30
65.0,175,30
66.0,173,32
67.0,173,32
68.0,173,32
69.0,173,32
70.0,172,33
71.0,170,35
72.0,167,38
73.0,166,39
74.0,164,41
75.0,162,43
76.0,161,44
77.0,160,45
78.0,159,46
79.0,155,50
80.0,153,52
81.0,152,53
82.0,151,54
83.0,149,56
84.0,146,59
85.0,146,59
86.0,145,60
87.0,143,62
88.0,138,67
89.0,138,67
90.0,137,68
91.0,137,68
92.0,135,70
93.0,133,72
94.0,133,72
95.0,132,73
96.0,132,73
97.0,129,76
98.0,129,76
99.0,128,77
100.0,127,78
101.0,126,79
102.0,123,82
103.0,123,82
104.0,122,83
105.0,118,87
106.0,117,88
107.0,114,91
108.0,113,92
109.0,112,93
110.0,110,95
111.0,109,96
112.0,106,99
113.0,104,101
114.0,103,102
115.0,101,104
116.0,99,106
117.0,96,109
118.0,94,111
119.0,89,116
120.0,86,119
121.0,83,122
122.0,82,123
123.0,79,126
124.0,77,128
125.0,74,131
126.0,72,133
127.0,68,137
128.0,65,140
129.0,62,143
130.0,61,144
131.0,59,146
132.0,54,151
133.0,53,152
134.0,52,153
135.0,51,154
136.0,46,159
137.0,45,160
138.0,43,162
139.0,42,163
140.0,40,165
141.0,39,166
142.0,39,166
143.0,37,168
144.0,35,170
145.0,33,172
146.0,32,173
147.0,30,175
148.0,28,177
149.0,26,179
150.0,25,180
151.0,25,180
152.0,23,182
153.0,22,183
154.0,20,185
155.0,19,186
156.0,19,186
157.0,19,186
158.0,18,187
159.0,18,187
160.0,17,188
161.0,15,190
162.0,15,190
163.0,13,192
164.0,12,193
165.0,12,193
166.0,12,193
167.0,12,193
168.0,12,193
169.0,11,194
170.0,10,195
171.0,10,195
172.0,9,196
173.0,9,196
174.0,9,196
175.0,8,197
176.0,7,198
177.0,7,198
178.0,6,199
179.0,6,199
180.0,6,199
181.0,5,200
182.0,5,200
183.0,5,200
184.0,4,201
185.0,4,201
186.0,4,201
187.0,3,202
188.0,3,202
189.0,3,202
190.0,3,202
191.0,3,202
192.0,3,202
193.0,3,202
194.0,3,202
195.0,3,202
196.0,3,202
197.0,3,202
198.0,3,202
199.0,3,202
200.0,3,202
201.0,3,202
202.0,3,202
203.0,2,203
204.0,2,203
205.0,2,203
206.0,2,203
207.0,2,203
208.0,1,204
209.0,1,204
210.0,0,205
211.0,0,205
212.0,0,205
213.0,0,205
214.0,0,205
215.0,0,205
216.0,0,205
217.0,0,205
218.0,0,205
219.0,0,205
220.0,0,205
221.0,0,205
222.0,0,205
223.0,0,205
224.0,0,205
225.0,0,205
226.0,0,205
227.0,0,205
228.0,0,205
229.0,0,205
230.0,0,205
231.0,0,205
232.0,0,205
233.0,0,205
234.0,0,205
235.0,0,205
236.0,0,205
237.0,0,205
238.0,0,205
239.0,0,205
240.0,0,205
241.0,0,205
242.0,0,205
